,name,country,eu_group,national_group,twitter,facebook,instagram,linkedin,email,Website,website,e-mail
124877,Jadwiga Wiśniewska,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,,,,,,,,
185619,Tiemo Wölken,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands,woelken,twoelken,woelken,,tiemo.woelken@europarl.europa.eu,http://www.tiemo-woelken.de/,,
5392,Lara Wolters,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partij van de Arbeid,larawoltersEU,larawolters0,larawoltersEU,,lara.wolters@europarl.europa.eu,,,
197511,Salima Yenbou,France,Group of the Greens/European Free Alliance,Europe Écologie,,,,,salima.yenbou@europarl.europa.eu,,,
197581,Stéphanie Yon-Courtin,France,Renew Europe Group,Liste Renaissance,,,,,,,,
197842,Elena Yoncheva,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Bulgarian Socialist Party,,,,,elena.yoncheva@europarl.europa.eu,,,
197499,Chrysoula Zacharopoulou,France,Renew Europe Group,La République en marche,,,,,chrysoula.zacharopoulou@europarl.europa.eu,,,
125067,Theodoros Zagorakis,Greece,Group of the European People's Party (Christian Democrats),Nea Demokratia,,th.zagorakis,,,theodoros.zagorakis@europarl.europa.eu,http://www.thodoris-zagorakis.com/,,
23712,Jan Zahradil,Czechia,European Conservatives and Reformists Group,Občanská demokratická strana,ZahradilJan,zahradil,,,jan.zahradil@europarl.europa.eu,http://www.zahradil.cz,,
197572,Anna Zalewska,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,,,,,anna.zalewska@europarl.europa.eu,,,
197586,Stefania Zambelli,Italy,Identity and Democracy Group,Lega,,scrivizambelli,picdeer.comzambelli_stefania_lega,,stefania.zambelli@europarl.europa.eu,,,
124780,Marco Zanni,Italy,Identity and Democracy Group,Lega,,,,,,,,
197606,Javier Zarzalejos,Spain,Group of the European People's Party (Christian Democrats),Partido Popular,fzarzalejos,,,,javier.zarzalejos@europarl.europa.eu,,,
28619,Tatjana Ždanoka,Latvia,Group of the Greens/European Free Alliance,Latvijas Krievu savienība,Tatjana_Zdanoka,tatjana.zdanoka,,,tatjana.zdanoka@europarl.europa.eu,https://rusojuz.lv/en/,,
124713,Tomáš Zdechovský,Czechia,Group of the European People's Party (Christian Democrats),Křesťanská a demokratická unie - Československá strana lidová,,,,,,,,
28615,Roberts Zīle,Latvia,European Conservatives and Reformists Group,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",,,,,roberts.zile@europarl.europa.eu,,,
197489,Bernhard Zimniok,Germany,Identity and Democracy Group,Alternative für Deutschland,,,,,bernhard.zimniok@europarl.europa.eu,,,
124884,Kosma Złotowski,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,,,,,,,,
197621,Juan Ignacio Zoido Álvarez,Spain,Group of the European People's Party (Christian Democrats),Partido Popular,zoidoji,zoido,zoidoji,,juanignacio.zoidoalvarez@europarl.europa.eu,http://www.pp.es/juan-ignacio-zoido,,
124739,Carlos Zorrinho,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista,,,,,,,,
185341,Željana Zovko,Croatia,Group of the European People's Party (Christian Democrats),Hrvatska demokratska zajednica,ZovkoEU,zeljanazovko.eu,zeljazov,,zeljana.zovko@europarl.europa.eu,http://www.zeljanazovko.eu/,,
125237,Marco Zullo,Italy,Renew Europe Group,Independent,,,,,marco.zullo@europarl.europa.eu,,,
96933,Milan Zver,Slovenia,Group of the European People's Party (Christian Democrats),Slovenska demokratska stranka,,,,,,,,
